City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
hwange,0,1601000936,46,-18.37,26.5,290.51,0.9
cuautepec,100,1601000936,87,16.7,-99,298.18,0.71
goderich,83,1601000936,86,43.75,-81.72,289.26,3.18
williston,100,1601000847,29,48.15,-103.62,294.26,2.24
la palma,1,1601000763,53,33.85,-118.05,297.15,2.63
denizli,40,1601000937,82,37.84,29.07,289.15,2.6
korla,0,1601000937,88,41.76,86.15,288.71,2.84
vasai,75,1601000937,94,19.47,72.8,300.15,2.1
tete,6,1601000937,56,-16.16,33.59,293.15,1.74
kruisfontein,5,1601000998,96,-34,24.73,285.37,0.89
hofn,0,1601000998,74,64.25,-15.21,276.11,8.93
elat,0,1601000705,75,29.56,34.95,294.83,3.22
birao,25,1601000893,95,10.28,22.79,294.75,1.82
calama,0,1601000998,10,-22.47,-68.93,286.15,3.1
vangaindrano,34,1601000998,84,-23.35,47.6,291.28,1.01
moron,100,1601000998,60,-34.65,-58.62,290.93,1.79
french harbor,100,1601000999,74,16.35,-86.43,302.81,6.09
koumac,49,1601000999,59,-20.57,164.28,298.47,3.42
victor harbor,22,1601000999,63,-35.57,138.62,285.37,4.02
mayo,1,1601000999,100,38.89,-76.51,290.37,1.5
adrar,55,1601001000,29,20.5,-10.07,306.05,5.11
santa ana,20,1601000942,73,33.75,-117.87,298.15,3.1
chara,1,1601001000,58,56.91,118.26,281.99,0.44
cotonou,93,1601000930,87,6.37,2.42,297.83,2.59
kokuy,6,1601001000,70,52.2,117.55,284.32,1.79
mount isa,0,1601001000,9,-20.73,139.5,303.15,3.1
tuscaloosa,90,1601000752,100,33.21,-87.57,294.26,3.6
yar-sale,98,1601001000,83,66.83,70.83,276.19,5.36
mtwara,76,1601001001,92,-10.27,40.18,294.35,2.85
hammerfest,75,1601001001,86,70.66,23.68,276.15,7.7
maues,42,1601000946,73,-3.38,-57.72,299.22,0.92
mikhaylovskoye,100,1601001001,86,51.82,79.72,279.9,8.18
melo,100,1601001001,81,-32.37,-54.18,287.58,3.3
tongren,100,1601001001,91,27.72,109.19,291.96,0.96
wufeng,100,1601001003,100,27.45,104.83,286.46,1.29
boguchany,100,1601001004,91,58.38,97.45,281.27,1.07
sosnovo-ozerskoye,100,1601001005,68,52.52,111.54,282.82,4.75
taltal,55,1601001005,78,-25.4,-70.48,286.24,0.28
mackenzie,40,1601001005,87,55.3,-123.17,282.15,2.1
fortuna,90,1601000885,100,40.6,-124.16,289.82,3.6
najran,0,1601001005,26,17.49,44.13,294.15,3.1
vanimo,83,1601001006,79,-2.67,141.3,301.49,1.88
bree,88,1601001006,93,51.14,5.6,283.71,4.6
harper,99,1601001007,90,4.38,-7.72,297.4,3.24
mahibadhoo,100,1601000899,77,3.78,72.97,300.74,3.65
canutama,83,1601001007,79,-6.53,-64.38,297.93,0.39
lata,40,1601001007,77,40.16,-8.33,290.37,3.1
dalvik,90,1601001007,69,65.97,-18.53,274.15,1
singapore,75,1601000724,74,1.29,103.85,304.15,1.5
havre-saint-pierre,1,1601001008,93,50.23,-63.6,279.15,3.6
quatre cocos,40,1601001008,82,-20.21,57.76,292.04,1
izumo,75,1601001008,94,35.37,132.77,295.15,4.1
houston,90,1601000867,78,29.76,-95.36,295.93,2.6
plettenberg bay,0,1601001009,74,-34.05,23.37,287.42,3.83
yuzhno-kurilsk,91,1601001009,71,44.03,145.86,287.12,7.34
kingman,1,1601000995,16,35.19,-114.05,305.93,6.2
nacala,72,1601001010,94,-14.54,40.67,292.25,2.6
rawson,0,1601001010,33,-43.3,-65.1,287.93,2.01
vardo,100,1601001010,80,70.37,31.11,280.95,7.84
touros,40,1601001071,83,-5.2,-35.46,297.15,2.6
qianguo,0,1601001071,66,45.12,124.86,292.96,1.63
syamzha,38,1601001071,96,60.02,41.06,282.27,2.21
de aar,10,1601001071,31,-30.65,24.01,289.84,3.91
redmond,99,1601001071,91,47.67,-122.12,289.82,3.48
fukue,75,1601001072,83,32.69,128.84,295.15,5.7
saurimo,88,1601001072,81,-9.66,20.39,291.91,1.52
matara,100,1601001072,86,5.95,80.54,299.68,2.8
lamar,1,1601001072,88,33.67,-95.58,292.15,1.5
yanaul,14,1601001072,83,56.27,54.93,279.13,2.08
lufilufi,75,1601001073,74,-13.87,-171.6,303.15,1.5
tura,100,1601001073,97,25.52,90.22,297.11,2.36
sigli,92,1601001073,60,5.38,95.96,302.83,0.46
petropavlovsk-kamchatskiy,4,1601001073,35,53.05,158.65,287.15,6
miguel alves,30,1601001074,84,-4.17,-42.9,296.25,0.91
fort nelson,75,1601001002,87,58.81,-122.7,283.15,1
half moon bay,90,1601000855,88,37.46,-122.43,294.26,4.6
oyama,75,1601001074,77,36.3,139.8,293.15,6.7
maamba,0,1601001074,36,-17.37,27.15,291.48,1.35
fort-shevchenko,35,1601001075,33,44.51,50.26,294.04,4.85
miguel hidalgo,90,1601000969,63,19.42,-99.2,291.15,3.1
gigmoto,100,1601001075,65,13.78,124.39,304.05,2.79
waipawa,4,1601001075,63,-41.41,175.52,290.15,9.3
santiago,100,1601001020,87,-33.46,-70.65,289.26,3.6
vaitape,19,1601000913,70,-16.52,-151.75,299.43,4.31
acandi,100,1601001075,88,8.51,-77.28,297.81,1.43
bubaque,100,1601001076,81,11.28,-15.83,299.78,6.88
derzhavinsk,1,1601001076,82,51.1,66.32,278.44,4.11
kondinskoye,0,1601001076,89,59.65,67.41,276.85,2.52
ust-tsilma,75,1601001076,96,65.44,52.15,280.67,0.82
sao gabriel,100,1601001077,88,-30.34,-54.32,291.36,4.56
bambous virieux,40,1601001077,82,-20.34,57.76,292.04,1
muisne,86,1601001077,80,0.6,-80.03,296.22,2.28
abalak,0,1601001077,88,58.13,68.59,276.77,3.73
turmalina,0,1601001077,95,-17.29,-42.73,290.34,1.19
katsuura,85,1601001078,74,35.13,140.3,296.48,1.34
moa,0,1601001078,82,20.66,-74.94,300.04,2.99
arauca,100,1601000908,97,7.08,-70.76,296.27,0.94
bandarbeyla,100,1601001078,64,9.49,50.81,299.56,10.63
brigantine,1,1601001078,93,39.41,-74.36,290.93,6.75
mujiayingzi,54,1601001078,45,42.12,118.78,292.74,1.37
narsaq,100,1601001079,48,60.92,-46.05,279.15,22.1
chapais,1,1601001079,79,49.78,-74.85,276.15,2.1
kaeo,0,1601001079,52,-35.1,173.78,295.93,2.68
zhigansk,0,1601001079,48,66.77,123.37,283.24,2.48
silale,86,1601001079,95,55.49,22.18,286.35,2.36
payakumbuh,46,1601001079,62,-0.22,100.63,301.96,0.73
george,2,1601001080,100,-33.96,22.46,286.15,2.6
maceio,40,1601000791,88,-9.67,-35.74,296.15,1
wadi maliz,20,1601001080,49,36.47,8.55,295.15,3.1
road town,100,1601001140,92,18.42,-64.62,300.93,2.68
mucuri,41,1601001140,81,-18.09,-39.55,296.32,3.28
pincher creek,0,1601001004,53,49.48,-113.95,284.82,11.3
manokwari,74,1601000991,62,-0.87,134.08,302.86,1.89
southbridge,99,1601001141,85,42.08,-72.03,289.82,1.72
port hardy,90,1601001141,100,50.7,-127.42,285.15,3.1
labuhan,68,1601001141,51,-6.88,112.21,305.07,0.75
price,1,1601001141,18,39.6,-110.81,295.15,2.6
verkhovazhye,73,1601001141,92,60.75,42.05,282.96,3.07
rongcheng,68,1601001142,94,30.63,117.85,295.93,1.78
lasa,90,1601001142,93,46.62,10.7,285.37,1
oyem,100,1601001142,98,1.6,11.58,292.83,1.16
batagay-alyta,0,1601001142,50,67.8,130.41,281.91,1.9
neiafu,40,1601001142,74,-18.65,-173.98,299.15,3.1
maningrida,1,1601001143,48,-12.07,134.27,305.06,5.39
sainte-maxime,88,1601001144,63,43.3,6.63,293.15,2.6
mao,39,1601001144,65,39.89,4.27,298.15,5.1
erzin,89,1601001144,83,36.96,36.2,298.71,0.87
